deutsch,englisch,typ,kategorie,klasse,lektion,schwierigkeit,past,participle,level,notizen
Hund,dog,vocab,animals,3,Unit 1,1,,,1,Level 1 Wordwick Hall
Katze,cat,vocab,animals,3,Unit 1,1,,,1,Level 1 Wordwick Hall
Buch,book,vocab,school,3,Unit 1 Review,1,,,10,Level 10 Spark Practice Grounds
gehen,go,irregular,verbs,3,Irregulars A,2,went,gone,10,Level 10 Spark Practice Grounds
Haus,house,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Zimmer,room,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Fenster,window,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Tür,door,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
essen,eat,irregular,verbs,3,Irregulars A,2,ate,eaten,4,Level 4 Sky Practice Yards
sehen,see,irregular,verbs,3,Irregulars A,2,saw,seen,4,Level 4 Sky Practice Yards
Baum,tree,vocab,nature,3,Unit 3,1,,,6,Level 6 Glasshouse Garden
Blume,flower,vocab,nature,3,Unit 3,1,,,6,Level 6 Glasshouse Garden
schreiben,write,irregular,verbs,3,Irregulars B,2,wrote,written,3,Level 3 Wordbrew Workshop
nehmen,take,irregular,verbs,3,Irregulars B,2,took,taken,3,Level 3 Wordbrew Workshop
Wasser,water,vocab,nature,3,Review 1,1,,,9,Level 9 Moonwell Lake
schwimmen,swim,irregular,verbs,3,Review 1,2,swam,swum,9,Level 9 Moonwell Lake
kommen,come,irregular,verbs,3,Irregulars C,2,came,come,8,Level 8 Wyrm Cave
machen,do,irregular,verbs,3,Irregulars C,2,did,done,8,Level 8 Wyrm Cave
Wald,forest,vocab,nature,3,Unit 4,1,,,7,Level 7 Whispering Woods
Vogel,bird,vocab,animals,3,Unit 4,1,,,7,Level 7 Whispering Woods
Stern,star,vocab,space,3,Final Review,1,,,5,Level 5 Stargazer Tower
finden,find,irregular,verbs,3,Final Review,2,found,found,5,Level 5 Stargazer Tower
