deutsch,englisch,typ,kategorie,klasse,lektion,schwierigkeit,past,participle,level,notizen
Hund,dog,vocab,animals,3,Unit 1,1,,,1,Level 1 Wordwick Hall
Katze,cat,vocab,animals,3,Unit 1,1,,,1,Level 1 Wordwick Hall
Buch,book,vocab,school,3,Unit 1 Review,1,,,10,Level 10 Spark Practice Grounds
Hand,hand,vocab,body,3,Body,1,,,10,Level 10 Spark Practice Grounds
Haus,house,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Zimmer,room,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Fenster,window,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
Tür,door,vocab,home,3,Unit 2,1,,,2,Level 2 Moonlit Library
klatsche in die Hände,clap your hands,vocab,body actions,3,Body actions,2,,,4,Level 4 Sky Practice Yards
springe auf und ab,jump up and down,vocab,body actions,3,Body actions,2,,,4,Level 4 Sky Practice Yards
Baum,tree,vocab,nature,3,Unit 3,1,,,6,Level 6 Glasshouse Garden
Blume,flower,vocab,nature,3,Unit 3,1,,,6,Level 6 Glasshouse Garden
frühstücken,have breakfast,vocab,morning routine,3,In the morning,2,,,3,Level 3 Wordbrew Workshop
zur Schule gehen,go to school,vocab,morning routine,3,In the morning,2,,,3,Level 3 Wordbrew Workshop
Wasser,water,vocab,nature,3,Review 1,1,,,9,Level 9 Moonwell Lake
hungrig,hungry,vocab,feelings,3,Review 1,1,,,9,Level 9 Moonwell Lake
einen Drachen steigen lassen,fly a kite,vocab,beach,3,At the beach,2,,,8,Level 8 Wyrm Cave
Sonnencreme auftragen,put on sunscreen,vocab,beach,3,At the beach,2,,,8,Level 8 Wyrm Cave
Wald,forest,vocab,nature,3,Unit 4,1,,,7,Level 7 Whispering Woods
Vogel,bird,vocab,animals,3,Unit 4,1,,,7,Level 7 Whispering Woods
Stern,star,vocab,space,3,Final Review,1,,,5,Level 5 Stargazer Tower
Januar,January,vocab,the year,3,Final Review,1,,,5,Level 5 Stargazer Tower
